Complexity|MSE|Equation
1|1.1476802e-5|-0.0036198562
2|1.1476801e-5|tanh(-0.0036198562)
6|1.1439993e-5|logm(pow(-0.9270733, plus(0.047688168, mg)))
7|1.1430456e-5|logm(pow(-0.9270733, abs(plus(0.047688168, mg))))
8|1.1430445e-5|logm(pow(-0.9270733, abs(sinh(plus(0.047688168, mg)))))
58|3.7794237e-6|mult(sinh(plus(plus(pow(plus(sinh(sinh(sinh(sinh(sinh(mult(plus(sinh(cube(asinh(pow(mult(avg2, 2.3757454e-10), t)))), avg1), plus(plus(tanh(tanh(tanh(g1))), sqrtm(1.0062099)), g2))))))), abs(mg)), 1.9129423), tanh(tanh(plus(asinh(tanh(tanh(tanh(plus(sqrtm(tanh(tanh(plus(tanh(tanh(mult(t, 6.4067965))), avg2)))), mom5))))), mult(mg, adagra))))), t)), -0.0074288)
60|3.5936584e-6|mult(plus(sqrtm(plus(abs(pow(plus(t, mult(mom99, cube(plus(sinh(mult(abs(g0), plus(pow(2.0841575, relu(rmspro)), rmspro))), 1.0)))), -0.6910333)), plus(pow(square(cube(exp(tanh(asinh(tanh(tanh(sqrtm(t)))))))), plus(sqrtm(plus(square(sinh(plus(sign(logm(sign(square(cube(mult(mult(g3, g4), sqrtm(adam))))))), -0.05246678))), g3)), plus(1.4211466, avg2))), -2.0517507))), -2.0613046), -0.0012703007)
61|3.5916764e-6|mult(plus(sqrtm(plus(abs(pow(plus(t, mult(mom99, cube(plus(sinh(mult(abs(g0), plus(pow(2.0841575, relu(rmspro)), rmspro))), 1.0)))), -0.6910333)), plus(pow(square(cube(exp(tanh(asinh(tanh(tanh(asinh(sqrtm(t))))))))), plus(sqrtm(plus(square(sinh(plus(sign(logm(sign(square(cube(mult(mult(g3, g4), sqrtm(adam))))))), -0.05246678))), g3)), plus(1.4211466, avg2))), -2.0517507))), -2.0613046), -0.0012703007)
62|3.5916764e-6|mult(plus(sqrtm(plus(abs(pow(plus(t, mult(mom99, cube(plus(sinh(mult(abs(g0), plus(pow(2.0841575, relu(rmspro)), rmspro))), 1.0)))), -0.6910333)), plus(pow(square(cube(exp(tanh(asinh(tanh(tanh(asinh(sqrtm(t))))))))), plus(sqrtm(plus(square(sinh(plus(sign(logm(sign(square(cube(mult(tanh(mult(g3, g4)), sqrtm(adam))))))), -0.05246678))), g3)), plus(1.4211466, avg2))), -2.0517507))), -2.0613046), -0.0012703007)
77|3.020198e-6|mult(plus(square(pow(plus(plus(tanh(tanh(tanh(tanh(pow(tanh(sqrtm(relu(plus(mult(plus(t, mom99), sinh(cube(1.127271))), mom99)))), 0.52221036))))), -1.8373276), asinh(asinh(sqrtm(relu(tanh(tanh(tanh(asinh(tanh(asinh(tanh(tanh(tanh(tanh(tanh(asinh(tanh(mult(tanh(tanh(tanh(plus(plus(plus(pow(plus(plus(sqrtm(pow(g0, 0.5740042)), t), tanh(g4)), 0.5627792), g3), plus(mult(t, plus(mult(-1.595675, 1.3703387), -0.2140243)), -0.01182033)), pow(mom5, 0.71312195))))), 1.1119975))))))))))))))))))), 2.2199798)), t), -0.001956623)
78|3.0191509e-6|mult(plus(square(pow(plus(plus(plus(tanh(tanh(tanh(tanh(pow(tanh(sqrtm(relu(plus(mult(plus(t, mom99), sinh(cube(1.127271))), mom99)))), 0.52221036))))), -1.8373276), asinh(asinh(sqrtm(relu(tanh(tanh(tanh(asinh(tanh(asinh(tanh(tanh(tanh(tanh(tanh(asinh(tanh(mult(tanh(tanh(plus(plus(plus(pow(plus(plus(sqrtm(pow(g0, 0.5740042)), t), tanh(g4)), 0.5627792), g3), plus(mult(t, plus(mult(-1.595675, 1.3703387), -0.2140243)), -0.01182033)), pow(mom5, 0.71312195)))), 1.1119975))))))))))))))))))), mg), 2.2199798)), t), -0.001956623)
