Complexity|MSE|Equation
20|3.4092002|plus(pow(sinh(logm(mult(sqrtm(plus(abs(logm(sinh(g2))), pow(adagra, square(1.2028362)))), plus(0.3692744, g2)))), 0.24572915), -0.18485564)
22|3.4030454|plus(tanh(pow(mult(cube(plus(mult(sqrtm(g1), -40.56331), square(square(sinh(pow(0.012732439, t)))))), 0.52038646), logm(plus(g3, 1.4818825)))), avg1)
23|3.2243693|plus(plus(pow(sinh(logm(plus(mult(logm(sqrtm(logm(sinh(logm(g3))))), pow(t, -0.0098026795)), avg2))), 0.2925095), abs(mult(g4, 2.063346))), -0.13528429)
25|3.2179701|plus(plus(pow(sinh(plus(logm(plus(mult(logm(sqrtm(logm(sinh(logm(g3))))), pow(t, -0.0098026795)), avg2)), 0.02958741)), 0.2925095), abs(mult(g4, -2.056076))), -0.13528429)
26|3.2179134|plus(plus(pow(sinh(plus(logm(plus(mult(logm(sqrtm(logm(sinh(logm(g3))))), pow(t, -0.0098026795)), asinh(avg2))), 0.02958741)), 0.2925095), abs(mult(g4, 2.063346))), -0.13528429)
70|3.1618123|plus(plus(pow(plus(pow(sinh(sinh(plus(sinh(plus(tanh(cube(plus(sinh(plus(sinh(logm(sqrtm(plus(logm(plus(sinh(sqrtm(plus(pow(g3, tanh(0.21813498)), asinh(g2)))), mult(t, plus(1.6453528, 0.731824)))), 0.2674111)))), -0.0785954)), g1))), relu(g0))), sinh(tanh(plus(plus(plus(0.21610473, mom9), plus(plus(plus(cube(mult(g2, plus(exp(mult(1.9696113, square(-0.96628654))), g1))), mom5), g4), t)), t)))))), 0.57121056), 0.09753253), square(1.1352997)), g3), mom5)
71|3.161341|plus(plus(pow(plus(pow(sinh(sinh(plus(sinh(plus(tanh(cube(plus(sinh(plus(sinh(logm(sqrtm(plus(logm(plus(sinh(sqrtm(plus(pow(g3, tanh(0.21813498)), asinh(g2)))), mult(t, plus(1.6453528, 0.731824)))), 0.2674111)))), -0.0785954)), g1))), sinh(relu(g0)))), sinh(tanh(plus(plus(plus(0.21610473, mom9), plus(plus(plus(cube(mult(g2, plus(exp(mult(1.9696113, square(-0.96628654))), g1))), mom5), g4), t)), t)))))), 0.57121056), 0.09753253), square(1.1352997)), g3), mom5)
72|3.145454|plus(pow(plus(pow(sinh(sinh(plus(sinh(plus(tanh(cube(plus(sinh(plus(sinh(logm(sqrtm(plus(logm(plus(sinh(sqrtm(plus(pow(g3, tanh(0.21813498)), asinh(g2)))), mult(t, plus(1.6453528, 0.731824)))), 0.2674111)))), -0.0785954)), g1))), relu(g0))), sinh(tanh(plus(plus(plus(0.21610473, mom9), plus(plus(plus(cube(mult(g2, plus(exp(mult(1.9696113, square(-0.96628654))), g1))), mult(plus(adagra, 1.8335068), mom5)), g4), t)), t)))))), 0.57121056), 0.09753253), square(1.1352997)), mom5)
74|3.1440544|plus(plus(pow(plus(pow(sinh(sinh(plus(sinh(plus(tanh(cube(plus(sinh(plus(sinh(logm(sqrtm(plus(logm(plus(sinh(sqrtm(plus(pow(g3, tanh(0.21813498)), asinh(g2)))), mult(t, plus(1.6453528, 0.731824)))), 0.2674111)))), -0.0785954)), g1))), relu(g0))), sinh(tanh(plus(plus(plus(0.21610473, mom9), plus(plus(plus(cube(mult(g2, plus(exp(mult(1.9696113, square(-0.96628654))), g1))), mult(plus(adagra, 1.8335068), mom5)), g4), t)), t)))))), 0.57121056), 0.09753253), square(-1.140226)), g3), mom5)
75|3.1438105|plus(plus(pow(plus(pow(sinh(sinh(plus(sinh(plus(tanh(cube(plus(sinh(plus(sinh(logm(sqrtm(plus(logm(plus(sinh(sqrtm(plus(pow(g3, tanh(0.21813498)), asinh(g2)))), mult(t, plus(1.6453528, asinh(0.731824))))), 0.2674111)))), -0.0785954)), g1))), relu(g0))), sinh(tanh(plus(plus(plus(0.21610473, mom9), plus(plus(plus(cube(mult(g2, plus(exp(mult(1.9696113, square(-0.96628654))), g1))), mult(plus(adagra, 1.8335068), mom5)), g4), t)), t)))))), 0.57121056), 0.09753253), square(1.1352997)), g3), mom5)
