Complexity|MSE|Equation
1|1.6783963e-5|-0.00016443271
2|1.6783963e-5|asinh(-0.00016443271)
13|1.5157191e-5|mult(plus(cube(plus(exp(sign(cube(cube(g0)))), sqrtm(mean_g))), -6.129743), -0.00012661121)
14|1.5156972e-5|mult(plus(cube(plus(exp(sign(cube(cube(g0)))), sqrtm(g0))), -5.847467), sinh(-0.00012207594))
17|1.5141971e-5|mult(plus(cube(plus(plus(exp(sign(cube(cube(g0)))), mult(g15, 1.2253491)), sqrtm(mean_g))), -6.1399746), -0.00012662566)
64|1.3242174e-5|pow(mult(pow(plus(plus(sign(cube(cube(mult(g0, 0.005997541)))), plus(pow(plus(tanh(mult(plus(plus(plus(g1, plus(plus(plus(g15, g2), g4), g7)), relu(g9)), relu(g12)), 10.179828)), g0), 0.4930281), plus(g14, g16))), plus(plus(tanh(pow(plus(plus(g6, g8), g17), 0.332948)), pow(pow(plus(g3, plus(g13, g5)), 0.74347353), 0.37456337)), pow(g10, 0.3839375))), 1.39787), -5.9909184e-5), plus(0.6376243, mean_g2))
65|1.3240057e-5|pow(mult(pow(plus(plus(sign(cube(cube(mult(g0, 0.005997541)))), plus(pow(plus(tanh(mult(plus(plus(plus(g1, plus(plus(plus(g15, g2), g4), g7)), relu(g9)), relu(g12)), 10.179828)), g0), 0.4930281), plus(g14, g16))), plus(plus(tanh(pow(plus(plus(g6, g8), g17), 0.332948)), pow(pow(plus(g3, plus(g13, g5)), 0.74347353), 0.37456337)), tanh(pow(g10, 0.3839375)))), 1.39787), -5.9909184e-5), plus(0.6376243, mean_g2))
66|1.3239568e-5|pow(mult(pow(plus(plus(sign(cube(cube(mult(g0, 0.005997541)))), plus(pow(plus(tanh(mult(plus(plus(plus(g1, plus(plus(plus(g15, g2), g4), g7)), relu(g9)), relu(g12)), 10.179828)), g0), 0.47531456), plus(g14, g16))), plus(plus(tanh(pow(plus(plus(g6, g8), g17), 0.332948)), pow(pow(plus(g3, plus(g13, g5)), sqrtm(0.74347353)), 0.37456337)), tanh(pow(g10, 0.3839375)))), 1.39787), -5.9909184e-5), plus(0.6376243, mean_g2))
67|1.3239335e-5|pow(mult(pow(plus(plus(sign(cube(cube(mult(g0, 0.005997541)))), plus(pow(plus(tanh(mult(plus(plus(plus(g1, plus(plus(plus(g15, g2), g4), g7)), relu(g9)), relu(g12)), 10.179828)), g0), 0.47531456), plus(g14, g16))), plus(plus(tanh(pow(plus(plus(g6, g8), g17), 0.332948)), pow(pow(mult(plus(g3, plus(g13, g5)), 0.87279135), 0.74347353), 0.37456337)), tanh(pow(g10, 0.3839375)))), 1.39787), -5.9909184e-5), plus(0.6376243, mean_g2))
73|1.3185005e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.0061794682)))), 3.796843), asinh(plus(plus(pow(plus(g2, g14), 0.28646657), plus(pow(plus(plus(asinh(plus(plus(plus(pow(g12, 0.35776365), tanh(pow(g5, 0.29812714))), tanh(pow(plus(g6, relu(g10)), erfc(0.9754941)))), g1)), g11), plus(tanh(sinh(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 16.09794)), pow(g9, square(-0.5598972)))))), g4)), 2.811827), pow(plus(plus(g1, g19), g16), square(0.47318503)))), 0.058037724)))), -3.1458843e-5)
