Complexity|MSE|Equation
1|1.6783964e-5|-0.0001637745
2|1.6783964e-5|sinh(-0.0001637745)
9|1.5427137e-5|mult(plus(plus(greater(-0.0015955209, g0), t), -0.3748027), 0.002744869)
10|1.5417363e-5|mult(plus(plus(greater(-0.0015955209, g0), t), tanh(-0.3748027)), 0.002744869)
11|1.5415524e-5|mult(plus(plus(greater(-0.0015955209, g0), t), pow(-0.3748027, 1.0584221)), 0.002744869)
12|1.5411406e-5|mult(plus(plus(greater(-0.0015955209, g0), t), tanh(pow(-0.3748027, 1.0584221))), 0.002744869)
13|1.4198734e-5|mult(sinh(plus(tanh(plus(pow(g0, 0.2295922), pow(g1, 0.47301754))), 0.021634165)), -0.005624172)
14|1.418276e-5|mult(sinh(plus(tanh(plus(sinh(pow(g0, 0.23516905)), pow(g1, 0.47519237))), 0.030214494)), -0.005845234)
15|1.4095704e-5|mult(plus(plus(pow(g0, 0.21085069), tanh(tanh(pow(plus(g1, g2), 0.45236698)))), 0.037013426), -0.004979101)
17|1.4095704e-5|mult(plus(plus(plus(pow(g0, 0.21066688), 0.025399491), tanh(tanh(pow(plus(g1, g2), 0.45203215)))), 0.011691987), -0.00497547)
18|1.4094156e-5|mult(plus(plus(plus(pow(g0, 0.21274558), 0.02140656), tanh(tanh(pow(plus(g1, asinh(g2)), 0.45491934)))), 0.015165258), -0.0050252085)
22|1.4052112e-5|mult(plus(plus(plus(pow(g0, 0.2295922), 0.00832796), tanh(plus(tanh(pow(plus(g1, asinh(g2)), mult(0.6998117, 0.73441255))), g3))), 0.021634165), -0.005624172)
55|1.3751931e-5|mult(sinh(tanh(sinh(sinh(sinh(plus(pow(tanh(pow(g0, plus(plus(plus(t, 0.53176564), g1), relu(g2)))), plus(t, 0.3990455)), tanh(tanh(tanh(tanh(plus(plus(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(mult(plus(plus(g3, plus(g4, mean_g)), plus(g1, g1)), 4.239685))))))))))), tanh(pow(g2, 0.5422054))), g3))))))))))), -0.0055247233)
56|1.3749988e-5|mult(sinh(tanh(sinh(sinh(sinh(plus(pow(tanh(pow(g0, plus(plus(plus(t, 0.53176564), g1), relu(g2)))), plus(t, 0.3990455)), tanh(tanh(tanh(tanh(plus(plus(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(mult(plus(plus(g3, plus(g4, mean_g)), plus(g1, g1)), 4.239685)))))))))))), tanh(pow(g2, 0.5422054))), g3))))))))))), -0.0055247233)
57|1.3748616e-5|mult(sinh(tanh(sinh(sinh(sinh(plus(pow(tanh(pow(g0, plus(plus(plus(t, 0.53176564), g1), relu(g2)))), plus(t, 0.3990455)), tanh(tanh(tanh(tanh(plus(plus(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(mult(plus(plus(g3, plus(g4, mean_g)), plus(g1, g1)), 4.239685))))))))))))), tanh(pow(g2, 0.5422054))), g3))))))))))), -0.0055247233)
58|1.3360722e-5|mult(plus(plus(plus(cube(tanh(mult(asinh(sinh(plus(asinh(sign(g3)), sign(plus(plus(g1, g1), g4))))), 0.6594968))), t), sinh(plus(greater(plus(mean_g, g1), mult(sinh(1.4437263), plus(t, mean_g2))), pow(plus(g2, g4), plus(sqrtm(t), sqrtm(t)))))), sinh(mult(sinh(sinh(tanh(asinh(pow(mult(g0, 406.1177), square(-0.84836435)))))), square(erfc(t))))), -0.0014793393)
59|1.3353517e-5|mult(plus(plus(plus(tanh(cube(tanh(mult(asinh(sinh(plus(asinh(sign(g3)), sign(plus(plus(g1, g1), g2))))), 0.67337084)))), t), sinh(plus(greater(plus(mean_g, g1), mult(sinh(1.4437263), plus(t, mean_g2))), pow(plus(g2, g4), plus(sqrtm(t), sqrtm(t)))))), sinh(mult(sinh(sinh(tanh(asinh(pow(mult(g0, 406.1177), square(-0.84836435)))))), square(erfc(t))))), -0.0014793393)
